見出し,見出し（説明）,分類,分類（説明）,日時,場所,対象,定員,費用,申込,問い合わせ,申込・問い合わせ,案内配布,受験資格,願書配布,URL1,URL2,Eメール1,Eメール2
県修学奨励金（奨学金）,"国公立 自宅通学18,000円 自宅外通学23,000円 私　立 自宅通学30,000円 自宅外通学35,000円",返還：無利子、卒業後10年以内,,,,(1)高校などに在学している方(2)保護者が県内在住(3)世帯全員の収入額が貸与基準額以下であることなどすべての項目に該当する方貸与額（月額） ,,,所定の申請書（申込先で配布）を4月16日～5月31日に在学校、問合先,県教育庁生涯学習課,,,,,http://www.pref.wakayama.lg.jp/prefg/500600/syougaku/top.html,,,
親子生き物観察教室,干潟にすむ貝やカニなどの生き物に触れ、自然環境の大切さを学ぶ,,,5月19日（土）13:00～15:00,和歌浦観海閣周辺（和歌山市）,県内在住の小学生とその保護者,10組30人程度（抽選）,,,,往復ハガキ、Eメールで代表者の住所・電話番号、全員の氏名・年齢を4月1～27日に県庁環境生活総務課,,,,http://www.pref.wakayama.lg.jp/prefg/032000/032500/,,e0320003@pref.wakayama.lg.jp ,
消費者月間・金融経済講演会,テーマ：暮らしに役立つ行動経済学講師：大竹文雄氏（大阪大学教授）,,,5月19日（土）13:30～15:00,和歌山ビッグ愛（和歌山市） ,,250人（先着順）,,,,郵送、ファックスで住所、氏名、電話番号、参加人数を県金融広報委員会 〒640-8319 和歌山市手平2-1-2 和歌山ビッグ愛8階 電話073-426-0298　ファックス073-433-3904,,,,http://www.wakayama-kinkoui.jp/,,,
特定公共賃貸住宅入居者～中堅所得者層向け～,,【和歌山市】川永2号棟（新築）(＊)13戸／川永23号棟（肢体障害者向・事故住宅）(＊)・川永1号棟（事故住宅）（＊）・和歌山東（事故住宅）・延時・三葛・東松江 各1戸／楠見・紀伊（＊） 各2戸／西脇グリーン・千旦1～9号棟 各3戸 【紀の川市】長山4戸 【橋本市】野1戸 【紀美野町】小畑・小畑（事故住宅） 各1戸 【有田市】糸我・港 各1戸 【有田川町】徳田2戸問い合わせ：県住宅供給公社 電話073-425-6888 【御坊市】下富安(視覚障害者向)・下富安（事故住宅）・藤田 各1戸／下富安2戸問い合わせ：日高振興局建設部 総務調整課　電話0738-24-2908 【田辺市】文里・新万（事故住宅）・西跡之浦（肢体障害者向）（＊） 各1戸／内ノ浦・西跡之浦・中芳養 各2戸／栗栖川3戸 【白浜町】日置（事故住宅）1戸／阪田・日置 各2戸／椿3戸 【上富田町】丹田台2戸問い合わせ：西牟婁振興局建設部 建築課 電話0739-26-7922 【串本町】出雲2戸 【すさみ町】すさみ1戸問い合わせ：東牟婁振興局串本建設部 総務用地課 電話0735-62-0755 　 【新宮市】丸山・佐野 各1戸,,5月1～11日9:00～17:00（土日祝除く）,,,,,,東牟婁振興局新宮建設部 総務調整課電話0735-21-9624 ,,問合先,,,,,,
地域優良賃貸住宅事業者,子育て・高齢者世帯など向けの優良な賃貸住宅の整備費の一部を補助,,,,,県内（和歌山市を除く）で住宅の供給を予定している民間事業者補助限度額：200万円/戸,30戸（選考）,,,,郵送、ファックス、Eメールで所定の申込書（申込先、WEBサイトなどで配布）を4月2日～5月31日に県庁建築住宅課ファックス073-428-2038,,,,http://www.pref.wakayama.lg.jp/prefg/080800/,,e0808001@pref.wakayama.lg.jp  ,
県営住宅委託管理人,,,,6月1日～平成31年3月31日,,県営住宅使用料の収納業務などに従事できる方（個人に限る）（選考）,県住宅供給公社管内 （和歌山市とその周辺） 1人 ,月額17万5千円,,,郵送、持参で所定の申込書（問合先で配布）を4月20日までに県庁建築住宅課,,,,http://www.pref.wakayama.lg.jp/prefg/080800/,,,
フラダンス教室,,,,(1)4月6・20日、5月11・25日、6月8・22日 金曜15:00～16:30(全6回) (2)4月7・21日、5月12・26日、6月2・16日 土曜19:00～20:30(全6回),県立橋本体育館（橋本市）,18歳以上の女性,(1)25人(2)30人（先着順）,"6,170円",,,申込書（申込先で配布）を会場 橋本市北馬場455電話0736-32-9660（火曜日休館） 和歌山県立橋本体育館,,,,http://www3.cypress.ne.jp/hp10703248/hasitai/hasitai-topA.htm,,,
「はかり」の定期検査,計量法に基づく特定計量器（はかり）の定期検査を実施,,,4～10月,海南市、海草郡、岩出市、紀の川市、有田市、有田郡、田辺市本宮町、新宮市、東牟婁郡,取引や証明にはかりを使用する者,,500円～（検査手数料,,県庁商工観光労働総務課,,,,,https://www.pref.wakayama.lg.jp/prefg/060100/keiryou1/nittei30.html,,,
手話講習会,,,,4月～（順次開催）,(1)和歌山市中央コミュニティセンター(2)海南保健所(3)岩出保健所(4)橋本保健所(5)湯浅保健所(6)御坊保健所(7)田辺市民総合センター(8)新宮保健所,手話奉仕員養成基礎編修了者程度の方,,,,,電話で住所、氏名、電話番号を(1)県庁障害福祉課(2)～(8)会場地の振興局保健福祉課 （ファックスの場合は県庁障害福祉課へ ファックス073-432-5567）,,,,http://www.pref.wakayama.lg.jp/prefg/040400/,,,
世界遺産高野参詣道トレッキング,,,,(1)4月14日（土）(2)30日（振休）(3)5月12日（土）(4)27日（日）(5)6月30日（土）,(1)黒河道(2)不動坂(3)三谷坂(4)町石道(5)女人道（橋本市・伊都郡内）,,,,,伊都振興局企画産業課 電話0736-33-4909 ※詳しくはWEBサイトを要確認,,,,,http://ito-tanoshi.com/,,,
